Context,Utterance,Label
"i keep get exclud lock error when tri to instal a packag , it 's say i have anoth apt-get open but i check process and i dont __eou__ __eot__ be you use sudo ? __eou__ __eot__ no from the manag __eou__ add/remov __eou__ it say __eou__ unabl to lock the directori , be anoth process use it ? __eou__ __eot__ ! intel | hijustm __eou__ use iptabl for your firewal . __eou__ __eot__ `` databas area be lock by anoth process '' __eou__ __eot__ run a ps aux and then kill off the process that be use it __eou__ __eot__ ps aux ? __eou__ __eot__",peep this real quick http : //rafb.net/paste/results/ul0fee40.html __eou__,0
"when instal a vista/ubuntu dual boot , which be easier to instal first or second ? __eou__ __eot__ ubuntu second __eou__ __eot__ so if i have ubuntu instal first , be it that i 'm screw ? __eou__ __eot__ umm , you could probabl instal grub while insid ubuntu , but i 'm not an expert on the subject . __eou__ __eot__",oh in that case sure then it trivial . thank __eou__,1
"hpbbsee - not video , wma , music rip by window media player __eou__ __eot__ i have no troubl play wmas ; tri get ( as you say ) ffmpeg and everyth els __eou__ __eot__ - do you know if differ version of wma work or do n't work ? __eou__ __eot__ do you have all of ffmpeg , libavcodec , libmad , ... ? ( i 'm sure one of them be it . ) __eou__ no , i do n't know about that __eou__ __eot__","- no . i 'm tri to test it in a live session first , and the machin have n't that much ram , but mayb i ll transfer the file to anoth machin for test and see if that work __eou__",1
"ani of u guy know how to switch desktop use the cube thing with compiz ? __eou__ it work ! __eou__ now i have my showoff laptop setup ! ! ! ! ! ! ! ! __eou__ خةلخةل __eou__ op __eou__ im so excit my encod flip up : d __eou__ __eot__ you you have the littl applet with the two desptop show ? __eou__ __eot__ yeah __eou__ __eot__ right click , properti on it , __eou__ __eot__",right . mp3 be legal difficult in much of the world . which countri and you in ? __eou__,0
"! w32codec | cyrus25801 __eou__ __eot__ thank you __eou__ __eot__ yes , it 's call experi : ) i.e . work with it __eou__ __eot__ yes i think i be go to get an answer like that . __eou__ __eot__ well , what exact be you want to learn ? __eou__ __eot__ well a littl bite of everyth ( i want to be a guru ) __eou__ __eot__ defin `` guru '' ( even though i think it 's a l337 term and you re head out into the world of linux pointless tri to be one ) __eou__ __eot__ know linux insid out ( or at leas tri ) __eou__ __eot__ it 's an imposs task -- it 's a constant evolv technolog with thing get obsolet everi day __eou__ __eot__ well that whi i just want to tri __eou__ thanx for the help __eou__ __eot__ what be the exact command you use ? __eou__ mysqladmin be at /usr/bin/mysqladmin not /usr/local/mysql/bin/mysqladmin if you instal mysql from the repositori __eou__ you need to chang that to reflect the right locat of mysqladmin __eou__ __eot__",chang it but it now say : /usr/bin/mysqladmin : connect to server at localhost ' fail __eou__,1
doe anyon know an easi way to convert .iso - > .img so i can use imagewrit to write an iso to a usb-key ? __eou__ __eot__ to make a bootabl usb key out of a livecd imag ? __eou__ __eot__,correct . __eou__,1
"hi , i need some help with the login manag . __eou__ i do cbx33 __eou__ __eot__ can you tri it out for me ? __eou__ __eot__ sure __eou__ __eot__ ping me onc you ve give it a tri __eou__ __eot__ what your problem with it ? __eou__ __eot__",hehe __eou__ must be just here then __eou__ it work ok there doe it ? __eou__,1
"anyon know of a program to control the tv-out function of an nvidia card ? i have an s-video out , but no way to actual make it send the signal . i tri nvtv ( or someth similar to that name ) but my card be one of the veri few unsupport . ( 5200fx ) __eou__ __eot__ i set up svideo by put an option in xorg.conf __eou__ __eot__ well , that make sens , now doe n't it . im off to google.. __eou__ __eot__ yeah there be some option for the nvidia driver to tell it to use svideo etc , i think i find all of them in one place on the gentoo wiki __eou__ __eot__ link ? __eou__ __eot__ http : //gentoo-wiki.com/tv-out_with_geforc __eou__ obviosli ignor the gentoo instal stuff , just look at the xorg.conf step __eou__ __eot__",so just ./path/to/script.sh ? __eou__,0
"gimp be veri power , it just have a steep learn curv __eou__ __eot__ for futur refer ; steep learn curv = learn a lot veri quick = veri easi to use __eou__ __eot__",i dont have ani problem with gimp i just dont have much requir for it i like it myself __eou__,1
"whenev i insert a blank cd or dvd , a window pop up ask what i want to do.. can i disabl this from come up ? __eou__ __eot__ yes . : p __eou__ __eot__ yay __eou__ how do i do it ? : ) __eou__ __eot__",updat manag say there 's sever year of download to do ... then it fail . __eou__,0
"my sda1 have ubuntu and sda3 have opensus . current my comput boot to sda3 's grub ( suse 's grub ) . how do i let my comput boot to sda1 's grub ( ubuntu 's ) ? __eou__ __eot__ fdisk , chang the activ partit . __eou__ __eot__",thank __eou__,0
"how can i list all the file in a directori from the commandlin , even hide file ? __eou__ __eot__ ls -la __eou__ __eot__ thanki : d __eou__ __eot__ it 's not an applic , it 's a websit __eou__ __eot__ it 's not a websit , it 's a web-app . it run under apach , yes , but it 's also an applic . the sourc have to be somewher , and it 's not in my www folder __eou__ __eot__ it be a simpl websit , look in your apach config for the site-en and where the root for phpyadmin be __eou__ __eot__ i do , it do n't say anyth . i do n't complet get the grep syntax , how might i search through my entir /etc/apache2 folder for `` phpmyadmin '' ? __eou__ __eot__ go into the sites-en directoy and see what site you have __eou__ __eot__","it 's onli get 000-default in there , and it 's not in that __eou__",1
"hi there __eou__ be there a winamp-dfx kind of thing in ubuntu to play song with gr8 music __eou__ i mean a sound enhanc thing __eou__ __eot__ i use to use xmms which have lot of cool plugins.. vlc can also do some neat stuff too __eou__ __eot__ xmms have onli that equil , that doe n't enhac sound like dfx plugin of winamp or , say a portabl mp3 player __eou__ __eot__ do you ever look at the xmms plugin option __eou__ __eot__","yes __eou__ you should also have % admin all= ( all ) all __eou__ that ll make member of the admin group be abl to use sudo __eou__ so creat it : ) and add yourself to it __eou__ admin be 4 for me __eou__ argh , sorri , misread . you re right __eou__ should be `` admin '' be 109 __eou__ `` id '' should list them all __eou__",0
"can anyon help me get my officejet 5510 to print in linux ? __eou__ __eot__ multifunct printer ? __eou__ __eot__ yes multifunct , the printer be connect to a xp box and network via samba ... it print fine in linux when i 'm use a guest os ( xp ) on vmware player ( insid linux ) , but when i tri from just linux the printer just lock up ... so im guess it 's the linux printer driver ? __eou__ __eot__ so the printer be hook up to anoth machin , and you re use samba to connect to it.. be the rest of samba work ? __eou__ i ca n't find refer to a driver for the 5510 , just the 5500 , which may be part of your problem , i.e . the driver be n't fulli matur for your hw __eou__ __eot__",": syn on __eou__ also , you might need to do : set nocp __eou__",0
"hi , i setup a vnc server but be get a connect error . can someon help ? __eou__ __eot__ give more detail of your problem __eou__ ani firewal run on the window machin ? __eou__ __eot__",i allow it to connect __eou__,1
"be there a quick way to see what compiz can do , when it 's enabl ? ( i ve enabl it success ... i can tell becaus it doe someth veri strang when a window be dragged. ) __eou__ __eot__ goto menu > system > pref > appear , last tab , click the custom button , you ll see all the pluggin that be avail __eou__ __eot__ do n't see a `` custom '' button . : ( __eou__ __eot__ i can't tell you what it be exact in englsh my os be in french , the last option in the destkop effect tab , there be a button to the right of it , click that __eou__ just get vmware-serv on gusti it 's in the repo , if you want player you need to build it from sourc __eou__ __eot__ no i be after server , thank . : _ __eou__ i must have misunderstand ... do n't see vmware in synapt ? __eou__ __eot__ enabl the extra repositori , from synatp , check in the menus on top for repositori , onc you hve the dalog for them , check everthign on the first tab and backport on the 3rd one __eou__ __eot__",debian sid __eou__ there be no samba4 packag at all http : //inverse.ca/ubuntu/pool/precise/s/ __eou__,0
"can anybodi here help me get a lexmark z600 work on amd 64 ? __eou__ i have packag but they be for i386 , idk if that the problem __eou__ yeah __eou__ __eot__ tri use sudo dpkg -i -- force-architectur < debfil > ' __eou__ __eot__ yes me too __eou__ one problem im have be that these packag be just folder __eou__ __eot__","possibl , i 'm have typo's.. __eou__",0
"be there an openssl-dev packag ? __eou__ __eot__ `` sudo apt-cach search openssl-dev '' __eou__ __eot__ alreadi do , noth show up __eou__ __eot__",it might be libssl-dev ? __eou__,1
"can someon help instal proprietari ati driver __eou__ i download from the ati site __eou__ i 'm use a 2.6.19.1 kernel __eou__ so i need to build modul for that kernel __eou__ kernel.org __eou__ build it __eou__ it 's fail when build the kernel modul __eou__ __eot__ assum you ve build the kernel correct and leave the header in place , there should be no reason whi a build against it should fail . __eou__ assum of cours , whatev you re tri to build support the version of kernel you have instal . __eou__ __eot__ well i get the latest driver from the ati site __eou__ __eot__ how 'd you instal your new kernel ? just download the .tar.gz and build from sourc ? __eou__ __eot__",yes __eou__,1
be there a way to instal a packet without instal other depend ? __eou__ __eot__ there be some switch to forc instal a package.. perhap there 's one to ignor dependencies.. make sure you know what you re do though.. thing might break __eou__ if you re compil thing yourself i would recommend checkinstal __eou__ __eot__ i 'm not i ve just instal compiz from git.. __eou__ __eot__ binari from git ? __eou__ __eot__ source- > compile- > instal __eou__ __eot__ see that middl thing there.. __eou__ that 's where checkinstal come in __eou__ __eot__,caus emerald be n't compil on x64 __eou__ can you give me a tip in how use checkinstal ? what should i type instead of use make instal ? __eou__,1
! awn | om26er __eou__ __eot__ ? __eou__ it 's an instal __eou__ __eot__,"gksu nautilus __eou__ be extream care while run nautilus as root.. to do so , hit alt-f2 and type gksu nautilus __eou__ then gksu gedit /path/to/fil __eou__",1
"i 'm not sure __eou__ i thinkg egika can do that __eou__ __eot__ also , do i need to load driver or can i expect the camera to work out of the box ? __eou__ __eot__",i mean apt-get autoremov __eou__,0
"hey i need some help , i 'm tri to get wow ; bc run in wine , and i ve be follow this tutori : https : //help.ubuntu.com/community/worldofwarcraft i ca n't chang it to use opengl becaus i ca n't even log in , the slowdown be so bad . it 's a fresh instal , ani help ? __eou__ __eot__ wine wow.ex -opengl __eou__ __eot__ it 's tri to run find it in system32 , how do i redirect it ? __eou__ __eot__ depend on where u instal wow in the first place __eou__ for instanc program file be in ~/.wine/drive_c/program file __eou__ __eot__ i instal it to there , so would it be wine `/.wine/drive_c/program files/world of warcraft/ wow.ex -opengl ? __eou__ __eot__ cool then wine `` c : \program files\world of warcraft\wow.ex '' -opengl __eou__ __eot__ thank : d __eou__ __eot__ disabl 3d effect , what video card do u have ? do u have driver instal ? __eou__ __eot__ i have a ati radeon , not sure about driver , i 'm realli new to linux , and i ve be use w/e be in the base instal __eou__ __eot__ do it at some point prompt you to instal restrict driver or someth of that sort ? __eou__ __eot__ yes , and i go ahead and instal them , be this a stupid move ? __eou__ __eot__ no you should have do that __eou__ tri to disabl 3d effect , ati know to have problem with it __eou__ __eot__ okay , where can i do that __eou__ __eot__","thx , will check right away __eou__",0
the same as a shell-script in linux __eou__ __eot__ correct me if im wrong . __eou__ __eot__,mayb you should ask in # ubuntu- . __eou__,0
"that true __eou__ youtub be n't even the best video host site , it just the most know becaus of googl __eou__ when googl choose flash for youtub that pretti much set the deal __eou__ __eot__ googl buy youtub after they choose flash __eou__ ssd or hdd ? __eou__ __eot__ i think hdd , not sure __eou__ it ssd __eou__ __eot__ that whi it be dirt cheap __eou__ __eot__ what wrong with ssd ? __eou__ __eot__ nobodi want them , they be extrem small ( in capac ) and they be the crapiest on the market of ssds __eou__ __eot__ what the differ ? __eou__ __eot__ differ between what ? __eou__ solid state disk , hard disk drive , the latter physic spin __eou__ __eot__","pgp key will work , you ll need gnupg packag __eou__ gpg key will work , you ll need gnupg packag , sorri . __eou__",0
random- if you be tri to resiz a windarz partit boot window set pagefil off and defrag . then resiz it . __eou__ random- the `` resiz '' can be do from gpart __eou__ random- but you need to run window and defrag with pagefil turn off __eou__ __eot__ not sure waht you mean by `` pagefil turn off `` __eou__ __eot__,it 's the file window use for vertual memori __eou__,1
"doe anyon know of a 64bit web browser ? __eou__ __eot__ umm , everyth in the repositori when you instal 64bit ubuntu __eou__ __eot__ janisoza1r mmvx i mean a real 64bit web browser , not a 32bit browser that run and be packag for 64bit system __eou__ __eot__ it be a real 64bit browser . __eou__ it be n't __eou__ you can run 64bit flash and 64bit java __eou__ __eot__ everi time i instal the flash plugin that be 64bit download from their web site , and instal it , the plugin 's never work , when i go back and instal the 32bit plugin it work __eou__ __eot__ what doe « unam -m » return ? __eou__ __eot__ i 'm run 64bit __eou__ x86_64 __eou__ janisoza1r i have be around this block sever time now , with everi re-instal i end up just instal the 32bit flash and java to keep everyth work __eou__ __eot__ work fine for me . i 'm eat now , but if you want to be more specif about how exact you be instal it and how exact it be not work i ll take a look in a few minut __eou__ __eot__ ok , sound good __eou__ __eot__",back . you sort it out yet ? __eou__,1
ani ucp here ? __eou__ __eot__ what be your question ( s ) ? __eou__ __eot__,http : //www.ubuntu.com/training/certificationcours __eou__ just look for recommend book __eou__,1
"whenev i use hibernate-ram , i be greet back by a black screen ( monitor 's still on , but all black ) . keyboard input still work ( capslock key toggl the lead , for exampl ) , but attempt to switch to the consol seem to hard freez the machin . ani idea whi ? hibernate-ram kind of sort of work in jaunti , i.e . it onli kernel panick onc everi 5 time instead of everi time in karmic ... __eou__ __eot__ do you have a seper swap memori ? __eou__ __eot__ yep __eou__ although none of it be use right now , which be slight worri in some sens __eou__ __eot__ more than or equal to the ram ? __eou__ __eot__",http : //paste.ubuntulinux.nl/2837 be my sources.list __eou__,0
